variable,table,domain,description,source,producer,role,status,hypotheses,expected_missing,missing_note,notes
sham_beta_hb,master,behaviour_rl_hb,"Sham: RW beta, hierarchical posterior mean",derivatives/rl_models/rw_within_all_subjects.csv,"rl_models/run_fit.py (fit_within, NumPyro NUTS) -> cognitive_merge.build_subject_df",outcome,current,,by-design,Hierarchical fit restricted to the 55 subjects with both conditions.,
sham_beta_sd_hb,master,behaviour_rl_hb,"Sham: RW beta, posterior SD",derivatives/rl_models/rw_within_all_subjects.csv,"rl_models/run_fit.py (fit_within, NumPyro NUTS) -> cognitive_merge.build_subject_df",qc,current,,by-design,As above.,
sham_guess_stim_rate,master,behaviour_derived,Sham session: proportion of runs the participant said they believed they were being stimulated,Bandit task behaviour (data/bandit),derived_behaviour.score_blinding -> build_master_data -> cognitive_merge.build_subject_df,qc,current,blinding check,,,Blinding integrity. delta_guess_stim_rate is the discrimination index (active - sham).
sham_lapse_rate,master,behaviour_derived,Sham session: proportion of trials with no response,Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
sham_n_rt_trials,master,behaviour_derived,Sham session: number of trials contributing to the RT measures,Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,qc,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
sham_p_shift_lose,master,behaviour_wsls,Sham session: P(shift | lose),Bandit task behaviour (data/bandit),wsls.compute_wsls_h1_h2 -> cognitive_merge.build_subject_df,outcome,current,"H1.1, H1.2",,,
sham_p_stay_win,master,behaviour_wsls,Sham session: P(stay | win),Bandit task behaviour (data/bandit),wsls.compute_wsls_h1_h2 -> cognitive_merge.build_subject_df,outcome,current,"H1.1, H1.2",,,
sham_persev_errors,master,behaviour_derived,Sham session: proportion incorrect in the 5 trials after a reversal (perseveration on the previously-good option),Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
sham_rt_cv,master,behaviour_derived,Sham session: coefficient of variation of response time,Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
sham_rt_mean,master,behaviour_derived,"Sham session: mean response time (ms), trials 200-1990 ms",Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,H1 baseline; exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
sham_rt_post_error,master,behaviour_derived,"Sham session: post-error slowing: mean RT after an incorrect choice minus after a correct one, within run",Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
sham_rt_post_loss,master,behaviour_derived,"Sham session: post-loss slowing: mean RT after an unrewarded trial minus after a rewarded one, within run",Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
sham_rt_sd,master,behaviour_derived,Sham session: SD of response time (ms),Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
sham_switch_rate,master,behaviour_derived,Sham session: proportion of consecutive within-run trials on which the choice changed,Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
sham_ttc,master,behaviour_accuracy,Sham session: mean trials after a reversal to reach 3 consecutive correct,Bandit task behaviour (data/bandit),reversal_analysis.identify_reversals + compute_trials_to_criterion -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,H1 baseline,,,"Parameters in config (TTC_CRITERION, REVERSAL_WINDOW_*). Moved from notebook-only to the master build 2026-09-22."
sham_ttc_censored,master,behaviour_accuracy,"Sham session: mean trials-to-criterion with unsolved reversals filled with the trials available (a lower bound), removing the survivorship bias in the raw mean",Bandit task behaviour (data/bandit),reversal_analysis.compute_trials_to_criterion -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,H1 baseline; H2.1; H2.2,,,Primary under TTC_CENSORING = censored. The raw column averages only solved reversals.
sham_ttc_reach_rate,master,behaviour_accuracy,Sham session: proportion of reversals on which criterion was reached,Bandit task behaviour (data/bandit),reversal_analysis.compute_trials_to_criterion -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,The quantity the raw TTC mean was silently conditioning on.
sham_win_rate,master,behaviour_accuracy,Sham session: proportion rewarded trials,Bandit task behaviour (data/bandit),accuracy_analysis.compute_condition_level_accuracy -> cognitive_merge.build_subject_df,outcome,current,,,,
sogs_total,master,survey_affect_social,South Oaks Gambling Screen,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,unavailable,,,,PENDING: score from item responses. The REDCap total is 0 for all 347 records in the RF1 project (broken calculated field); item answers exist for 64 of ours and are not all zero.
speed_composite,master,cognitive_composite,Legacy speed domain (mean of available z-scores),z-scored cognition columns,cognitive_merge.compute_cognitive_composites,legacy,legacy,,,,Input count varies with age; do not use for new work.
speed_n_measures,master,item_count,Inputs behind speed_composite,derived,cognitive_merge.compute_cognitive_composites,qc,legacy,,,,
speed_reduced,master,cognitive_composite,Uniform speed domain (same inputs for every subject),z-scored cognition columns,cognitive_merge.compute_cognitive_composites,covariate_component,current,,,,
speed_reduced_n,master,item_count,Inputs behind speed_reduced,derived,cognitive_merge.compute_cognitive_composites,qc,current,,,,
spsrq_sp,master,survey_reward,SPSRQ Sensitivity to Punishment (sum of 10 items),REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_spsrq,predictor,current,H1.2,,,
spsrq_sp_n_items,master,item_count,Items answered for SPSRQ_SP,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_spsrq,qc,current,,,,
spsrq_sr,master,survey_reward,SPSRQ Sensitivity to Reward (sum of 10 items),REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_spsrq,predictor,current,H1.2,,,
spsrq_sr_n_items,master,item_count,Items answered for SPSRQ_SR,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_spsrq,qc,current,,,,
subject_id,master,identifier,Participant ID (5-digit),SUBJECT_INFO in config.py,cognitive_merge.build_subject_df,identifier,current,,,,
susd_depression,master,survey_affect_social,SUSD depression,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,,,
susd_mania,master,survey_affect_social,SUSD mania,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,,,
tei_emotionality,master,survey_exploratory,TEIQue emotionality,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,enrollment-gated,"Missing for enrollment ranks 3, 4 (early protocol) and 13 (individual).",
tei_selfcontrol,master,survey_exploratory,TEIQue self-control,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,enrollment-gated,"Missing for enrollment ranks 3, 4 (early protocol) and 13 (individual).",
tei_sociability,master,survey_exploratory,TEIQue sociability,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,enrollment-gated,"Missing for enrollment ranks 3, 4 (early protocol) and 13 (individual).",
tei_total,master,survey_exploratory,TEIQue total,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,enrollment-gated,"Missing for enrollment ranks 3, 4 (early protocol) and 13 (individual).",
tei_wellbeing,master,survey_exploratory,TEIQue wellbeing,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,enrollment-gated,"Missing for enrollment ranks 3, 4 (early protocol) and 13 (individual).",
theta_median,master,eeg,"Theta bursting, median of the within-run normalised 4-8 Hz envelope","derivatives/eeg/theta_subject_metrics.csv (EEG, data/nic)",run_theta_metrics.py -> eeg_theta.run_theta_analysis -> build_master_data.load_theta,secondary,current,,individual,"Missing 7: no EEG recorded for 11030, 11066, 11316, 11433, 11542, 11861; 11606 has EEG but both baseline runs exceed the 10% artifact threshold (32%, 57%)."," Not ""reactivity"": nothing is locked to feedback. Power is normalised by the whole run mean, so this is burstiness relative to the subject’s own average. Not localisable either — F4/P4/P3 correlate at median r = .998 raw, so it is a global measure, not frontal. Validity control: theta_p95_excess."
theta_p75,master,eeg,"Theta bursting, 75th percentile of the within-run normalised 4-8 Hz envelope","derivatives/eeg/theta_subject_metrics.csv (EEG, data/nic)",run_theta_metrics.py -> eeg_theta.run_theta_analysis -> build_master_data.load_theta,secondary,current,,individual,"Missing 7: no EEG recorded for 11030, 11066, 11316, 11433, 11542, 11861; 11606 has EEG but both baseline runs exceed the 10% artifact threshold (32%, 57%)."," Not ""reactivity"": nothing is locked to feedback. Power is normalised by the whole run mean, so this is burstiness relative to the subject’s own average. Not localisable either — F4/P4/P3 correlate at median r = .998 raw, so it is a global measure, not frontal. Validity control: theta_p95_excess."
theta_p95,master,eeg,"Theta bursting, 95th percentile of the within-run normalised 4-8 Hz envelope","derivatives/eeg/theta_subject_metrics.csv (EEG, data/nic)",run_theta_metrics.py -> eeg_theta.run_theta_analysis -> build_master_data.load_theta,moderator,current,H2.3 (theta models),individual,"Missing 7: no EEG recorded for 11030, 11066, 11316, 11433, 11542, 11861; 11606 has EEG but both baseline runs exceed the 10% artifact threshold (32%, 57%)."," Not ""reactivity"": nothing is locked to feedback. Power is normalised by the whole run mean, so this is burstiness relative to the subject’s own average. Not localisable either — F4/P4/P3 correlate at median r = .998 raw, so it is a global measure, not frontal. Validity control: theta_p95_excess."
theta_p95_excess,master,eeg,theta_p95 minus its surrogate: theta bursting beyond what the run’s own power spectrum produces,"derivatives/eeg/theta_subject_metrics.csv (EEG, data/nic)",run_theta_metrics.py -> eeg_theta.run_theta_analysis -> build_master_data.load_theta,qc,current,validity control,individual,"Missing 7: no EEG recorded for 11030, 11066, 11316, 11433, 11542, 11861; 11606 has EEG but both baseline runs exceed the 10% artifact threshold (32%, 57%).","Positive in 92% of runs (t(118) = +9.18, p = 2e-15). Near zero would mean theta_p95 is reporting the spectrum, not bursting."
theta_p95_surrogate,master,eeg,"theta_p95 recomputed on a phase-randomised surrogate of the same run (identical power spectrum, bursting destroyed)","derivatives/eeg/theta_subject_metrics.csv (EEG, data/nic)",run_theta_metrics.py -> eeg_theta.run_theta_analysis -> build_master_data.load_theta,qc,current,validity control,individual,"Missing 7: no EEG recorded for 11030, 11066, 11316, 11433, 11542, 11861; 11606 has EEG but both baseline runs exceed the 10% artifact threshold (32%, 57%).",See eeg_theta.phase_randomised. The recordings carry a stationary 9.767 Hz device comb; this check demonstrates per run that theta_p95 reflects bursting rather than the spectrum.
trails_a_time,master,cognition,Trail Making A time (s),REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge.load_rf1_raw,legacy_composite_input,legacy,,age-gated,"Administered from ~age 56 only (24-28 of 29 aged 56+, 1 of 36 below). Not recoverable.",
trails_b_time,master,cognition,Trail Making B time (s),REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge.load_rf1_raw,legacy_composite_input,legacy,,age-gated,"Administered from ~age 56 only (24-28 of 29 aged 56+, 1 of 36 below). Not recoverable.",
